#Chromosome	Start	Stop	RegionID	SU5219	StdDevCoverage	StdDev/Mean
chr1	6484773	6485396	ESPN:NM_031475-1	104,3	38,0	0,36
chr1	6488208	6488562	ESPN:NM_031475-2	495,3	44,6	0,09
chr1	6500238	6500581	ESPN:NM_031475-3	290,0	112,5	0,39
chr1	6500603	6501198	ESPN:NM_031475-4;ESPN:NM_031475-5	214,1	119,9	0,56
chr1	6504458	6504818	ESPN:NM_031475-6	447,4	48,4	0,11
chr1	6505643	6506066	ESPN:NM_031475-7	274,1	103,7	0,38
chr1	6508628	6509229	ESPN:NM_031475-8	132,9	38,9	0,29
chr1	6511588	6512240	ESPN:NM_031475-9;ESPN:NM_031475-10	342,4	73,2	0,21
chr1	6517168	6517239	ESPN:NM_031475-11	401,9	32,8	0,08
chr1	6517248	6517515	ESPN:NM_031475-11;ESPN:NM_031475-12	485,9	38,2	0,08
chr1	6519988	6521068	ESPN:NM_031475-13	435,8	73,2	0,17
chr1	26758691	26758948	DHDDS:NM_024887-1	327,7	53,2	0,16
chr1	26759301	26759583	DHDDS:NM_024887-2	627,9	74,8	0,12
chr1	26764586	26764865	DHDDS:NM_024887-3	543,5	48,9	0,09
chr1	26769141	26769433	DHDDS:NM_024887-4	565,4	45,2	0,08
chr1	26772726	26773007	DHDDS:NM_024887-5	560,1	62,3	0,11
chr1	26773966	26774217	DHDDS:NM_024887-6	616,2	75,5	0,12
chr1	26784211	26784487	DHDDS:NM_024887-7	553,1	53,0	0,10
chr1	26786446	26786707	DHDDS:NM_024887-8	601,1	47,5	0,08
chr1	26795311	26796807	DHDDS:NM_024887-9,1	564,7	84,6	0,15
chr1	26796931	26797871	DHDDS:NM_024887-9,2	574,7	58,9	0,10
chr1	35246712	35247447	GJB3:NM_024009-1	340,5	132,1	0,39
chr1	35247827	35248114	GJB3:NM_001005752-1	509,2	124,8	0,25
chr1	35250267	35252047	GJB3:NM_001005752-2	602,4	49,5	0,08
chr1	41249599	41250162	KCNQ4:NM_004700-1	181,1	163,7	0,90
chr1	41282864	41283101	KCNQ4:NM_004700-2	484,2	130,5	0,27
chr1	41283764	41284002	KCNQ4:NM_004700-3	461,7	57,1	0,12
chr1	41284099	41284424	KCNQ4:NM_004700-4	288,4	79,7	0,28
chr1	41284934	41285221	KCNQ4:NM_004700-5	394,0	81,6	0,21
chr1	41285469	41285728	KCNQ4:NM_004700-6	545,2	62,2	0,11
chr1	41285764	41286007	KCNQ4:NM_004700-7	462,9	36,1	0,08
chr1	41287909	41288087	KCNQ4:NM_004700-8,1	309,1	52,3	0,17
chr1	41288089	41288161	KCNQ4:NM_004700-8,2	219,6	25,7	0,12
chr1	41289689	41290018	KCNQ4:NM_004700-9	357,8	90,5	0,25
chr1	41296674	41297066	KCNQ4:NM_004700-10	426,8	104,2	0,24
chr1	41298614	41298856	KCNQ4:NM_004700-11	446,0	56,9	0,13
chr1	41300554	41300836	KCNQ4:NM_004700-12	497,2	83,6	0,17
chr1	41303259	41303543	KCNQ4:NM_004700-13	389,7	81,9	0,21
chr1	41303899	41306210	KCNQ4:NM_004700-14	509,9	83,4	0,16
chr1	68894422	68894529	RPE65:NM_000329-14,1	450,7	53,7	0,12
chr1	68894547	68895275	RPE65:NM_000329-14,2	747,8	52,6	0,07
chr1	68895277	68895692	RPE65:NM_000329-14,3	688,9	65,9	0,10
