#Chromosome	Start	Stop	RegionID	SU4751	StdDevCoverage	StdDev/Mean
chr1	6484773	6485396	ESPN:NM_031475-1	112,3	41,2	0,37
chr1	6488208	6488562	ESPN:NM_031475-2	503,9	59,5	0,12
chr1	6500238	6500581	ESPN:NM_031475-3	273,4	121,1	0,44
chr1	6500603	6501198	ESPN:NM_031475-4;ESPN:NM_031475-5	212,6	150,0	0,71
chr1	6504458	6504818	ESPN:NM_031475-6	470,2	52,6	0,11
chr1	6505643	6506066	ESPN:NM_031475-7	267,1	87,4	0,33
chr1	6508628	6509229	ESPN:NM_031475-8	149,0	47,8	0,32
chr1	6511588	6512240	ESPN:NM_031475-9;ESPN:NM_031475-10	350,8	63,4	0,18
chr1	6517168	6517239	ESPN:NM_031475-11	462,1	41,2	0,09
chr1	6517248	6517515	ESPN:NM_031475-11;ESPN:NM_031475-12	468,5	41,5	0,09
chr1	6519988	6521068	ESPN:NM_031475-13	472,3	91,7	0,19
chr1	26758691	26758948	DHDDS:NM_024887-1	335,5	73,7	0,22
chr1	26759301	26759583	DHDDS:NM_024887-2	522,9	63,8	0,12
chr1	26764586	26764865	DHDDS:NM_024887-3	585,3	66,2	0,11
chr1	26769141	26769433	DHDDS:NM_024887-4	563,8	67,6	0,12
chr1	26772726	26773007	DHDDS:NM_024887-5	555,7	57,3	0,10
chr1	26773966	26774217	DHDDS:NM_024887-6	537,1	50,8	0,09
chr1	26784211	26784487	DHDDS:NM_024887-7	520,1	76,6	0,15
chr1	26786446	26786707	DHDDS:NM_024887-8	567,7	84,2	0,15
chr1	26795311	26796807	DHDDS:NM_024887-9,1	529,3	79,3	0,15
chr1	26796931	26797871	DHDDS:NM_024887-9,2	527,3	64,5	0,12
chr1	35246712	35247447	GJB3:NM_024009-1	319,5	118,4	0,37
chr1	35247827	35248114	GJB3:NM_001005752-1	440,4	119,9	0,27
chr1	35250267	35252047	GJB3:NM_001005752-2	572,4	61,4	0,11
chr1	41249599	41250162	KCNQ4:NM_004700-1	167,0	145,7	0,87
chr1	41282864	41283101	KCNQ4:NM_004700-2	451,8	114,9	0,25
chr1	41283764	41284002	KCNQ4:NM_004700-3	431,5	50,3	0,12
chr1	41284099	41284424	KCNQ4:NM_004700-4	266,8	90,1	0,34
chr1	41284934	41285221	KCNQ4:NM_004700-5	391,8	87,7	0,22
chr1	41285469	41285728	KCNQ4:NM_004700-6	523,6	45,7	0,09
chr1	41285764	41286007	KCNQ4:NM_004700-7	479,0	44,9	0,09
chr1	41287909	41288087	KCNQ4:NM_004700-8,1	302,0	52,8	0,17
chr1	41288089	41288161	KCNQ4:NM_004700-8,2	249,0	27,5	0,11
chr1	41289689	41290018	KCNQ4:NM_004700-9	361,3	90,5	0,25
chr1	41296674	41297066	KCNQ4:NM_004700-10	425,0	88,1	0,21
chr1	41298614	41298856	KCNQ4:NM_004700-11	398,2	69,3	0,17
chr1	41300554	41300836	KCNQ4:NM_004700-12	486,5	68,8	0,14
chr1	41303259	41303543	KCNQ4:NM_004700-13	396,2	104,3	0,26
chr1	41303899	41306210	KCNQ4:NM_004700-14	500,3	97,9	0,20
chr1	68894422	68894529	RPE65:NM_000329-14,1	368,9	71,0	0,19
chr1	68894547	68895275	RPE65:NM_000329-14,2	591,4	35,8	0,06
chr1	68895277	68895692	RPE65:NM_000329-14,3	566,4	52,1	0,09
chr1	68896667	68897356	RPE65:NM_000329-11;RPE65:NM_000329-12;RPE65:NM_000329-13	575,9	57,0	0,10
chr1	68903797	68904084	RPE65:NM_000329-10	528,1	69,7	0,13
chr1	68904552	68905091	RPE65:NM_000329-8;RPE65:NM_000329-9	536,5	55,3	0,10
chr1	68905162	68905370	RPE65:NM_000329-7	557,5	64,3	0,12
chr1	68906462	68906773	RPE65:NM_000329-6	550,9	57,9	0,11
chr1	68910132	68910640	RPE65:NM_000329-4;RPE65:NM_000329-5	531,7	94,1	0,18
chr1	68912317	68912636	RPE65:NM_000329-3	513,0	44,7	0,09
chr1	68914227	68914485	RPE65:NM_000329-2	435,8	110,0	0,25
chr1	68915497	68915709	RPE65:NM_000329-1	564,7	73,0	0,13
chr1	94458312	94458879	ABCA4:NM_000350-50	521,7	49,8	0,10
chr1	94461582	94461834	ABCA4:NM_000350-49	442,6	91,3	0,21
chr1	94463337	94463732	ABCA4:NM_000350-48	506,7	46,7	0,09
chr1	94466312	94466740	ABCA4:NM_000350-46;ABCA4:NM_000350-47	438,8	88,8	0,20
chr1	94467342	94467615	ABCA4:NM_000350-45	521,8	60,9	0,12
