#Chromosome	Start	Stop	RegionID	SU3714	StdDevCoverage	StdDev/Mean
chr1	6484773	6485396	ESPN:NM_031475-1	143,7	55,6	0,39
chr1	6488208	6488562	ESPN:NM_031475-2	575,4	82,2	0,14
chr1	6500238	6500581	ESPN:NM_031475-3	349,8	147,4	0,42
chr1	6500603	6501198	ESPN:NM_031475-4;ESPN:NM_031475-5	264,4	174,4	0,66
chr1	6504458	6504818	ESPN:NM_031475-6	614,6	77,2	0,13
chr1	6505643	6506066	ESPN:NM_031475-7	354,6	122,4	0,35
chr1	6508628	6509229	ESPN:NM_031475-8	187,6	61,9	0,33
chr1	6511588	6512240	ESPN:NM_031475-9;ESPN:NM_031475-10	427,3	79,4	0,19
chr1	6517168	6517239	ESPN:NM_031475-11	606,7	60,0	0,10
chr1	6517248	6517515	ESPN:NM_031475-11;ESPN:NM_031475-12	608,1	61,3	0,10
chr1	6519988	6521068	ESPN:NM_031475-13	565,8	98,5	0,17
chr1	26758691	26758948	DHDDS:NM_024887-1	411,4	88,7	0,22
chr1	26759301	26759583	DHDDS:NM_024887-2	684,3	78,2	0,11
chr1	26764586	26764865	DHDDS:NM_024887-3	693,3	58,7	0,08
chr1	26769141	26769433	DHDDS:NM_024887-4	667,1	81,9	0,12
chr1	26772726	26773007	DHDDS:NM_024887-5	597,6	59,4	0,10
chr1	26773966	26774217	DHDDS:NM_024887-6	649,1	69,0	0,11
chr1	26784211	26784487	DHDDS:NM_024887-7	632,7	68,3	0,11
chr1	26786446	26786707	DHDDS:NM_024887-8	630,6	61,5	0,10
chr1	26795311	26796807	DHDDS:NM_024887-9,1	697,8	107,8	0,15
chr1	26796931	26797871	DHDDS:NM_024887-9,2	692,8	62,8	0,09
chr1	35246712	35247447	GJB3:NM_024009-1	410,5	152,7	0,37
chr1	35247827	35248114	GJB3:NM_001005752-1	581,9	173,6	0,30
chr1	35250267	35252047	GJB3:NM_001005752-2	700,0	70,4	0,10
chr1	41249599	41250162	KCNQ4:NM_004700-1	218,8	200,4	0,92
chr1	41282864	41283101	KCNQ4:NM_004700-2	594,0	140,1	0,24
chr1	41283764	41284002	KCNQ4:NM_004700-3	541,5	77,6	0,14
chr1	41284099	41284424	KCNQ4:NM_004700-4	362,5	105,8	0,29
chr1	41284934	41285221	KCNQ4:NM_004700-5	551,3	101,0	0,18
chr1	41285469	41285728	KCNQ4:NM_004700-6	637,7	75,2	0,12
chr1	41285764	41286007	KCNQ4:NM_004700-7	580,0	62,3	0,11
chr1	41287909	41288087	KCNQ4:NM_004700-8,1	395,7	67,4	0,17
chr1	41288089	41288161	KCNQ4:NM_004700-8,2	258,1	29,0	0,11
chr1	41289689	41290018	KCNQ4:NM_004700-9	456,2	109,9	0,24
chr1	41296674	41297066	KCNQ4:NM_004700-10	516,1	111,1	0,22
chr1	41298614	41298856	KCNQ4:NM_004700-11	485,7	55,9	0,12
chr1	41300554	41300836	KCNQ4:NM_004700-12	568,4	89,0	0,16
chr1	41303259	41303543	KCNQ4:NM_004700-13	510,2	116,8	0,23
chr1	41303899	41306210	KCNQ4:NM_004700-14	598,9	112,4	0,19
chr1	68894422	68894529	RPE65:NM_000329-14,1	401,5	42,7	0,11
chr1	68894547	68895275	RPE65:NM_000329-14,2	759,9	59,9	0,08
chr1	68895277	68895692	RPE65:NM_000329-14,3	742,1	71,3	0,10
chr1	68896667	68897356	RPE65:NM_000329-11;RPE65:NM_000329-12;RPE65:NM_000329-13	731,6	72,5	0,10
chr1	68903797	68904084	RPE65:NM_000329-10	700,1	106,9	0,15
chr1	68904552	68905091	RPE65:NM_000329-8;RPE65:NM_000329-9	692,9	41,4	0,06
chr1	68905162	68905370	RPE65:NM_000329-7	632,4	67,4	0,11
chr1	68906462	68906773	RPE65:NM_000329-6	674,9	87,8	0,13
chr1	68910132	68910640	RPE65:NM_000329-4;RPE65:NM_000329-5	684,4	104,7	0,15
chr1	68912317	68912636	RPE65:NM_000329-3	691,7	56,9	0,08
chr1	68914227	68914485	RPE65:NM_000329-2	589,3	129,2	0,22
chr1	68915497	68915709	RPE65:NM_000329-1	687,5	81,9	0,12
chr1	94458312	94458879	ABCA4:NM_000350-50	667,6	69,4	0,10
chr1	94461582	94461834	ABCA4:NM_000350-49	588,6	111,9	0,19
chr1	94463337	94463732	ABCA4:NM_000350-48	674,9	97,5	0,14
chr1	94466312	94466740	ABCA4:NM_000350-46;ABCA4:NM_000350-47	585,3	134,0	0,23
chr1	94467342	94467615	ABCA4:NM_000350-45	606,3	60,7	0,10
chr1	94470912	94471206	ABCA4:NM_000350-44	650,9	90,2	0,14
chr1	94473107	94473357	ABCA4:NM_000350-43	585,8	94,7	0,16
chr1	94473707	94473921	ABCA4:NM_000350-42	610,3	75,2	0,12
chr1	94474232	94474517	ABCA4:NM_000350-41	689,4	61,2	0,09
chr1	94476272	94476570	ABCA4:NM_000350-40	576,6	64,1	0,11
