#Chromosome	Start	Stop	RegionID	SU5146	StdDevCoverage	StdDev/Mean
chr1	6484773	6485396	ESPN:NM_031475-1	177,8	65,2	0,37
chr1	6488208	6488562	ESPN:NM_031475-2	754,5	87,9	0,12
chr1	6500238	6500581	ESPN:NM_031475-3	415,5	191,5	0,46
chr1	6500603	6501198	ESPN:NM_031475-4;ESPN:NM_031475-5	304,8	186,1	0,61
chr1	6504458	6504818	ESPN:NM_031475-6	647,8	107,2	0,17
chr1	6505643	6506066	ESPN:NM_031475-7	376,9	122,6	0,33
chr1	6508628	6509229	ESPN:NM_031475-8	212,0	57,1	0,27
chr1	6511588	6512240	ESPN:NM_031475-9;ESPN:NM_031475-10	479,0	92,9	0,19
chr1	6517168	6517239	ESPN:NM_031475-11	615,9	57,2	0,09
chr1	6517248	6517515	ESPN:NM_031475-11;ESPN:NM_031475-12	669,4	50,8	0,08
chr1	6519988	6521068	ESPN:NM_031475-13	650,0	137,0	0,21
chr1	26758691	26758948	DHDDS:NM_024887-1	459,1	108,3	0,24
chr1	26759301	26759583	DHDDS:NM_024887-2	779,3	131,3	0,17
chr1	26764586	26764865	DHDDS:NM_024887-3	767,9	89,0	0,12
chr1	26769141	26769433	DHDDS:NM_024887-4	723,1	93,9	0,13
chr1	26772726	26773007	DHDDS:NM_024887-5	779,9	100,1	0,13
chr1	26773966	26774217	DHDDS:NM_024887-6	754,9	77,8	0,10
chr1	26784211	26784487	DHDDS:NM_024887-7	659,6	79,0	0,12
chr1	26786446	26786707	DHDDS:NM_024887-8	730,9	89,9	0,12
chr1	26795311	26796807	DHDDS:NM_024887-9,1	775,0	99,6	0,13
chr1	26796931	26797871	DHDDS:NM_024887-9,2	765,1	75,9	0,10
chr1	35246712	35247447	GJB3:NM_024009-1	462,4	178,4	0,39
chr1	35247827	35248114	GJB3:NM_001005752-1	611,6	169,3	0,28
chr1	35250267	35252047	GJB3:NM_001005752-2	758,2	78,7	0,10
chr1	41249599	41250162	KCNQ4:NM_004700-1	264,4	254,5	0,96
chr1	41282864	41283101	KCNQ4:NM_004700-2	588,9	165,6	0,28
chr1	41283764	41284002	KCNQ4:NM_004700-3	625,9	96,4	0,15
chr1	41284099	41284424	KCNQ4:NM_004700-4	388,1	122,9	0,32
chr1	41284934	41285221	KCNQ4:NM_004700-5	639,0	130,9	0,20
chr1	41285469	41285728	KCNQ4:NM_004700-6	774,2	103,8	0,13
chr1	41285764	41286007	KCNQ4:NM_004700-7	628,4	70,2	0,11
chr1	41287909	41288087	KCNQ4:NM_004700-8,1	405,4	74,0	0,18
chr1	41288089	41288161	KCNQ4:NM_004700-8,2	281,9	25,4	0,09
chr1	41289689	41290018	KCNQ4:NM_004700-9	459,5	99,8	0,22
chr1	41296674	41297066	KCNQ4:NM_004700-10	571,7	140,5	0,25
chr1	41298614	41298856	KCNQ4:NM_004700-11	636,3	102,8	0,16
chr1	41300554	41300836	KCNQ4:NM_004700-12	663,7	83,4	0,13
chr1	41303259	41303543	KCNQ4:NM_004700-13	587,1	124,3	0,21
chr1	41303899	41306210	KCNQ4:NM_004700-14	690,0	134,1	0,19
chr1	68894422	68894529	RPE65:NM_000329-14,1	439,9	77,3	0,18
chr1	68894547	68895275	RPE65:NM_000329-14,2	784,4	85,4	0,11
chr1	68895277	68895692	RPE65:NM_000329-14,3	787,3	71,3	0,09
chr1	68896667	68897356	RPE65:NM_000329-11;RPE65:NM_000329-12;RPE65:NM_000329-13	826,8	93,0	0,11
chr1	68903797	68904084	RPE65:NM_000329-10	730,4	117,8	0,16
