#Chromosome	Start	Stop	RegionID	SU4322	StdDevCoverage	StdDev/Mean
chr1	6484773	6485396	ESPN:NM_031475-1	125,4	47,0	0,37
chr1	6488208	6488562	ESPN:NM_031475-2	493,7	40,8	0,08
chr1	6500238	6500581	ESPN:NM_031475-3	288,6	113,0	0,39
chr1	6500603	6501198	ESPN:NM_031475-4;ESPN:NM_031475-5	243,9	173,5	0,71
chr1	6504458	6504818	ESPN:NM_031475-6	520,4	72,3	0,14
chr1	6505643	6506066	ESPN:NM_031475-7	301,2	122,9	0,41
chr1	6508628	6509229	ESPN:NM_031475-8	148,3	41,5	0,28
chr1	6511588	6512240	ESPN:NM_031475-9;ESPN:NM_031475-10	406,9	92,7	0,23
chr1	6517168	6517239	ESPN:NM_031475-11	464,1	33,2	0,07
chr1	6517248	6517515	ESPN:NM_031475-11;ESPN:NM_031475-12	520,9	24,5	0,05
chr1	6519988	6521068	ESPN:NM_031475-13	527,9	94,0	0,18
chr1	26758691	26758948	DHDDS:NM_024887-1	406,5	91,1	0,22
chr1	26759301	26759583	DHDDS:NM_024887-2	653,0	77,4	0,12
chr1	26764586	26764865	DHDDS:NM_024887-3	610,2	60,5	0,10
chr1	26769141	26769433	DHDDS:NM_024887-4	583,3	38,2	0,07
chr1	26772726	26773007	DHDDS:NM_024887-5	593,7	80,2	0,14
chr1	26773966	26774217	DHDDS:NM_024887-6	587,8	72,7	0,12
chr1	26784211	26784487	DHDDS:NM_024887-7	563,4	52,2	0,09
chr1	26786446	26786707	DHDDS:NM_024887-8	610,5	71,3	0,12
chr1	26795311	26796807	DHDDS:NM_024887-9,1	581,5	100,5	0,17
chr1	26796931	26797871	DHDDS:NM_024887-9,2	579,9	59,7	0,10
chr1	35246712	35247447	GJB3:NM_024009-1	333,3	123,9	0,37
chr1	35247827	35248114	GJB3:NM_001005752-1	520,3	120,1	0,23
chr1	35250267	35252047	GJB3:NM_001005752-2	612,8	57,9	0,09
chr1	41249599	41250162	KCNQ4:NM_004700-1	174,0	175,8	1,01
chr1	41282864	41283101	KCNQ4:NM_004700-2	494,4	131,0	0,26
chr1	41283764	41284002	KCNQ4:NM_004700-3	516,0	61,6	0,12
chr1	41284099	41284424	KCNQ4:NM_004700-4	279,6	100,8	0,36
chr1	41284934	41285221	KCNQ4:NM_004700-5	458,4	92,6	0,20
chr1	41285469	41285728	KCNQ4:NM_004700-6	558,1	57,5	0,10
chr1	41285764	41286007	KCNQ4:NM_004700-7	514,8	58,7	0,11
chr1	41287909	41288087	KCNQ4:NM_004700-8,1	356,2	55,7	0,16
chr1	41288089	41288161	KCNQ4:NM_004700-8,2	287,9	35,9	0,12
chr1	41289689	41290018	KCNQ4:NM_004700-9	427,6	118,6	0,28
chr1	41296674	41297066	KCNQ4:NM_004700-10	451,7	99,1	0,22
chr1	41298614	41298856	KCNQ4:NM_004700-11	453,7	42,6	0,09
chr1	41300554	41300836	KCNQ4:NM_004700-12	503,9	67,1	0,13
chr1	41303259	41303543	KCNQ4:NM_004700-13	446,4	105,1	0,24
chr1	41303899	41306210	KCNQ4:NM_004700-14	569,9	121,1	0,21
chr1	68894422	68894529	RPE65:NM_000329-14,1	347,0	64,1	0,18
chr1	68894547	68895275	RPE65:NM_000329-14,2	663,7	40,8	0,06
chr1	68895277	68895692	RPE65:NM_000329-14,3	616,7	57,1	0,09
chr1	68896667	68897356	RPE65:NM_000329-11;RPE65:NM_000329-12;RPE65:NM_000329-13	628,5	42,7	0,07
chr1	68903797	68904084	RPE65:NM_000329-10	648,5	102,4	0,16
chr1	68904552	68905091	RPE65:NM_000329-8;RPE65:NM_000329-9	648,2	37,7	0,06
chr1	68905162	68905370	RPE65:NM_000329-7	608,8	52,6	0,09
chr1	68906462	68906773	RPE65:NM_000329-6	592,8	81,7	0,14
chr1	68910132	68910640	RPE65:NM_000329-4;RPE65:NM_000329-5	637,4	95,6	0,15
chr1	68912317	68912636	RPE65:NM_000329-3	586,8	45,9	0,08
chr1	68914227	68914485	RPE65:NM_000329-2	527,6	120,3	0,23
chr1	68915497	68915709	RPE65:NM_000329-1	585,5	77,2	0,13
chr1	94458312	94458879	ABCA4:NM_000350-50	562,8	42,8	0,08
chr1	94461582	94461834	ABCA4:NM_000350-49	495,5	109,5	0,22
chr1	94463337	94463732	ABCA4:NM_000350-48	584,5	68,4	0,12
chr1	94466312	94466740	ABCA4:NM_000350-46;ABCA4:NM_000350-47	506,4	109,0	0,22
chr1	94467342	94467615	ABCA4:NM_000350-45	566,1	54,4	0,10
chr1	94470912	94471206	ABCA4:NM_000350-44	577,6	77,0	0,13
chr1	94473107	94473357	ABCA4:NM_000350-43	543,9	79,8	0,15
chr1	94473707	94473921	ABCA4:NM_000350-42	522,2	79,8	0,15
chr1	94474232	94474517	ABCA4:NM_000350-41	620,9	63,1	0,10
chr1	94476272	94476570	ABCA4:NM_000350-40	491,1	68,9	0,14
chr1	94476737	94477015	ABCA4:NM_000350-39	517,7	72,7	0,14
chr1	94480027	94480317	ABCA4:NM_000350-38	560,1	62,6	0,11
chr1	94481212	94481502	ABCA4:NM_000350-37	507,2	69,6	0,14
chr1	94483827	94484224	ABCA4:NM_000350,2-PE36	655,9	74,0	0,11
chr1	94485067	94485384	ABCA4:NM_000350-36	520,4	81,1	0,16
chr1	94486717	94487034	ABCA4:NM_000350-35	581,6	29,7	0,05
chr1	94487122	94487286	ABCA4:NM_000350-34	613,2	44,7	0,07
chr1	94487317	94487564	ABCA4:NM_000350-33	588,8	28,7	0,05
chr1	94488857	94489044	ABCA4:NM_000350-32	548,4	59,5	0,11
chr1	94490427	94490674	ABCA4:NM_000350-31	622,5	60,4	0,10
chr1	94492872	94493131	ABCA4:NM_000350,2-PE30	585,6	91,5	0,16
chr1	94494922	94495274	ABCA4:NM_000350-30	506,9	43,0	0,08
chr1	94495912	94496168	ABCA4:NM_000350-29	474,7	64,2	0,14
chr1	94496467	94496765	ABCA4:NM_000350-28	528,8	54,8	0,10
chr1	94497257	94497673	ABCA4:NM_000350-27	497,3	51,1	0,10
chr1	94502222	94502425	ABCA4:NM_000350-26	602,3	55,4	0,09
chr1	94502622	94502980	ABCA4:NM_000350-25	598,0	69,2	0,12
chr1	94505522	94505781	ABCA4:NM_000350-24	559,0	84,5	0,15
chr1	94506682	94507046	ABCA4:NM_000350-23	539,4	61,7	0,11
chr1	94508232	94508518	ABCA4:NM_000350-22	559,2	78,1	0,14
